产品简称,当年收益%
东源嘉盈七期,-1.06
奇获奇才A,-1.06
博豪成长一号,-1.07
搏股通金2号二期,-1.08
九悦尊享,-1.08
白鹭9号,-1.1
中金对冲39号,-1.1
尚诚壹品同益2号,-1.1
源沣长征,-1.11
乾图价值趋势1号,-1.11
财富8号,-1.13
云联智融量化先锋,-1.13
冰剑2号,-1.14
招商汇智之天马领航,-1.15
天马多空策略投资基金,-1.15
尊岳进取2号,-1.17
PHC产业价值1号,-1.17
金楠聚富1期,-1.18
泽元元泰证券投资基金,-1.19
归富长乐1号,-1.19
银帆2期,-1.19
成泉2期,-1.19
涛峰银帆,-1.2
淼津稳进1号,-1.2
中金对冲801号,-1.2
冰剑7号,-1.21
长金银信宝6期,-1.22
策牛成长1号,-1.23
冰剑12号,-1.24
搏股通金2号三期,-1.27
神州牧1号,-1.28
润之泽阿尔法成长一号,-1.3
财富骐骥定增27号,-1.3
巨鹿1期,-1.31
钜和共赢1号,-1.31
和聚商享1期,-1.32
阿甘1号,-1.33
达仁卓越6号,-1.33
明河双诚10号,-1.34
摩通成长1号,-1.35
通金趋势6号,-1.35
发现2号,-1.37
恒添新青年一号,-1.37
华炎晨星,-1.38
雷天海泰1号,-1.38
太阳帆投资基金,-1.39
彬耕一期,-1.39
恒天紫鑫母基金,-1.39
金辇1号,-1.4
太云意一号,-1.4
神农本草,-1.4
澎泰安全边际一期,-1.4
冰剑10号,-1.42
华源兴业稳盈1号,-1.42
泽泉信德,-1.45
翼虎成长11号,-1.46
安民2号,-1.46
恒德资本多策略MOM基..,-1.47
光大兴富进取5期第1期,-1.48
银帆8期,-1.48
永禧优选1号,-1.5
锐进51期拾贝,-1.5
