"","产品简称","当年收益.","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]","ls_value[[month.index]][, 2]"
"734","汇信-泓德6号",17.79,"17.27",12.46,20.1
"551","汇信-泓德7号",24.47,"23.79",19.13,27.1
"559","汇信-金百合1号",24.24,"44.09",52.37,69.64
"1005","汇信-金百合2号",6.45,"10.61",13.02,26.04
"1340","汇信-景恒先锋",-10.54,"-6.48",3.72,2.28
"412","汇信-景林1号",31.26,"36.9",35.06,37.44
"830","汇信-理臻1号",13.86,"18.96",26.67,24.8
"382","汇信-普尔2号",32.86,"42.81",55.71,75.92
"256","汇信-普尔3号",41.35,"43.85",56.86,77.36
"607","汇信-世诚1号",22.43,"22.81",22.69,24.54
"436","汇信-鑫富越2号",29.46,"28.91",26.98,33.87
"192","汇信-信诚1号",48.82,"59.15",53.57,62.42
"541","汇信-中欧瑞博1号",24.91,"31.92",37.66,40.95
"516","汇信-中欧瑞博2号",25.84,"31.91",25.48,29.49
"398","汇信得3期",32.06,"39.8",42.55,44.16
"709","汇盈29号",18.52,"54.44",75.07,58.9
"301","汇盈9号",37.94,"71.56",76.61,66.2
"50","汇盈一期",82.1,"79.54",100.99,102.88
"1332","惠理价值一期",-9.73,"-2.59",1.26,3.37
"747","慧安10期",17.3,"17.23",15.13,14.86
"926","慧安12号",9.98,"9.58",6.98,6.29
"809","慧安1号",14.93,"14.93",12.65,12.56
"1078","慧安6号",4.02,"3.99",1.96,2.07
"804","混沌价值增长",15.12,"39.7",47.39,53.17
"359","或然赋利1期",34.32,"34.39",34.44,35.15
"608","积极进取1号",22.42,"28.73",22.57,20.6
"549","积胜1期",24.53,"34.45",37.51,36.68
"1357","嘉禾1号",-11.7,"-9.22",-8.24,-0.97
"1489","嘉宏1号",-53.67,"-43.11",-34.14,-33.81
"268","嘉谟1号",40.36,"38.45",42.71,80.53
"1143","嘉泰量化对冲1期",0.82,"19.2",26.71,32
"175","建信积极成长1期",50.68,"57.97",56.97,59.55
"430","金百镕1期",29.93,"41.87",41.83,41.44
"652","金百镕5期",20.9,"31.01",31.34,31.39
"1469","金贝壳1号",-35.77,"-22.84",-11.73,-14.04
"1038","金诚富利1期",5.04,"6.02",7.2,9.87
"1223","金海10号",-3.13,"7.36",9.15,10
"1308","金海1号",-8.33,"-7.19",-4.04,-6.88
"870","金海2号",12.16,"13.24",14.7,24.23
"948","金海3号",9.18,"10.63",10.36,12.21
"1291","金海4号",-7.38,"-26.28",-26.28,-25.91
"1092","金海5号",3.16,"15.87",15.88,22.74
"1208","金海6号",-2.68,"-3.88",-7.47,-3.72
"758","金海7号",16.82,"16.97",14.43,19.96
"824","金海8号",14.29,"14.25",12.26,14.22
"1268","金海9号",-5.58,"3.86",4.16,10.49
"242","金浪一号",42.36,"40.04",76.48,31.39
"103","金牡丹道谊稳健",60.36,"57.92",59.63,63.58
